constraint_type,expression,id,id_type,scope_path,targets,title,is_active,references,value,xml_example_content,targetRefs,confidence,review_issues
existence,If the value of the attribute SwBaseType.category is set to FIXED_LENGTH then the attribute baseTypeSize shall be filled with content and attribute maxBaseTypeSize shall not exist.,constr_1012,constr,"['5 Data Description', '5.2 Data Types', '5.2.6 Base Type', 'Properties of SwBaseType']","[{'entityType': 'class', 'targetAttributes': ['category', 'baseTypeSize', 'maxBaseTypeSize'], 'targetEntityName': 'SwBaseType'}]",Value of category is FIXED_LENGTH,True,[],,,"['SwBaseType.baseTypeSize', 'SwBaseType.category', 'SwBaseType.maxBaseTypeSize']",0.9,"[""属性 'category' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'baseTypeSize' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'maxBaseTypeSize' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)""]"
existence,If the value of the attribute SwBaseType.category is set to VARIABLE_LENGTH then the attribute maxBaseTypeSize shall be filled with content and attribute baseTypeSize shall not exist.,constr_1013,constr,"['5 Data Description', '5.2 Data Types', '5.2.6 Base Type', 'Properties of SwBaseType']","[{'entityType': 'class', 'targetAttributes': ['category', 'maxBaseTypeSize', 'baseTypeSize'], 'targetEntityName': 'SwBaseType'}]",Value of category is VARIABLE_LENGTH,True,[],,,"['SwBaseType.baseTypeSize', 'SwBaseType.category', 'SwBaseType.maxBaseTypeSize']",0.9,"[""属性 'category' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'maxBaseTypeSize' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'baseTypeSize' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)""]"
definition,In both cases (mentioned in [constr_1012] and [constr_1013]) the size of SwBaseType is specified in bits.,TPS_SWCT_01444,TPS_SWCT,"['5 Data Description', '5.2 Data Types', '5.2.6 Base Type', 'Properties of SwBaseType']","[{'entityType': 'class', 'targetAttributes': ['baseTypeSize', 'maxBaseTypeSize'], 'targetEntityName': 'SwBaseType'}]",Size of SwBaseType is specified in bits,True,"['[constr_1012]', '[constr_1013]']",,,"['SwBaseType.baseTypeSize', 'SwBaseType.maxBaseTypeSize']",0.9,"[""属性 'baseTypeSize' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'maxBaseTypeSize' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)""]"
existence,The only kind of Compound Primitive Data Type that is allowed to define an invalidValue is an ApplicationPrimitiveDataType of category STRING.,TPS_SWCT_01486,TPS_SWCT,"['5 Data Description', '5.2 Data Types', '5.2.7 Data Type Terminology', '5.2.7.2 Compound Primitive Data Type']","[{'entityType': 'class', 'targetAttributes': ['category', 'invalidValue'], 'targetEntityName': 'ApplicationPrimitiveDataType'}]",ApplicationPrimitiveDataType of category STRING may have invalidValue,True,['RS_SWCT_03216'],,,"['ApplicationPrimitiveDataType.category', 'ApplicationPrimitiveDataType.invalidValue']",0.9,"[""属性 'invalidValue' 在元数据类 'ApplicationPrimitiveDataType' 的已知属性列表中未找到。 (LLM 违规)""]"
existence,Compound Primitive Data Types that have set the value of of category other than STRING shall not define invalidValue.,constr_1241,constr,"['5 Data Description', '5.2 Data Types', '5.2.7 Data Type Terminology', '5.2.7.2 Compound Primitive Data Type']","[{'entityType': 'class', 'targetAttributes': ['category', 'invalidValue'], 'targetEntityName': 'ApplicationPrimitiveDataType'}]",Compound Primitive Data Types and invalidValue,True,[],,,"['ApplicationPrimitiveDataType.category', 'ApplicationPrimitiveDataType.invalidValue']",0.9,"[""属性 'invalidValue' 在元数据类 'ApplicationPrimitiveDataType' 的已知属性列表中未找到。 (LLM 违规)""]"
definition,"Generally speaking, a data prototype represents the implementation of a role of a data type within the definition of another data type, e.g. a ""typed"" data object declared within a software component or a port interface. This means formally that it has an is-of-type relation to a data type and is usually aggregated by another element, e.g. the internal behavior or a port interface.",TPS_SWCT_01264,TPS_SWCT,"['5 Data Description', '5.3 Data Prototypes']","[{'entityType': 'class', 'targetAttributes': ['_classLevel', 'type'], 'targetEntityName': 'DataPrototype'}]",Data prototypes implement a role of a data type,True,[],,,"['DataPrototype._classLevel', 'DataPrototype.type']",0.9,"[""属性 'type' 在元数据类 'DataPrototype' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,"These initValues have no meaning for DataPrototypes within PortInterfaces because in this case a more specific definition of initial values via the so-called ComSpec is required, see chapter 4.5.",TPS_SWCT_01269,TPS_SWCT,"['5 Data Description', '5.3 Data Prototypes']","[{'entityType': 'class', 'targetAttributes': ['initValue'], 'targetEntityName': 'DataPrototype'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'PortInterface'}]","In PortInterfaces, initial values defined for DataPrototypes are ignored",True,[],,,"['DataPrototype.initValue', 'PortInterface._classLevel']",0.9,"[""属性 'initValue' 在元数据类 'DataPrototype' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,The reference to rootParameterDataPrototype is not redundant. It is required for identifying the autosarParameter itself in a ParameterInterface if and only if the AutosarDataType of the autosarParameter is a composite data type. If the AutosarDataType was a primitive data type the targetDataPrototype reference is the only reference required.,TPS_SWCT_01374,TPS_SWCT,"['5 Data Description', '5.3 Data Prototypes', '5.3.2 Reference to Data Prototypes']","[{'entityType': 'class', 'targetAttributes': ['autosarParameter'], 'targetEntityName': 'AutosarParameterRef'}, {'entityType': 'class', 'targetAttributes': ['contextElement', 'targetDataPrototype'], 'targetEntityName': 'AtpInstanceRef'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'ParameterDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'AutosarDataType'}]",Implementation of AutosarParameterRef,True,[],,,"['AtpInstanceRef.contextElement', 'AtpInstanceRef.targetDataPrototype', 'AutosarDataType.category', 'AutosarParameterRef.autosarParameter', 'ParameterDataPrototype._classLevel']",0.9,"[""属性 'contextElement' 在元数据类 'AtpInstanceRef' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'targetDataPrototype' 在元数据类 'AtpInstanceRef' 的已知属性列表中未找到。 (LLM 违规)""]"
behavioral,The reference to rootVariableDataPrototype is not redundant. It is required for identifying the autosarVariable itself in a SenderReceiverInterface or NvDataInterface if and only if the AutosarDataType of the autosarVariable is a composite data type. If the AutosarDataType was a primitive data type the targetDataPrototype reference is the only reference required.,TPS_SWCT_01375,TPS_SWCT,"['5 Data Description', '5.3 Data Prototypes', '5.3.2 Reference to Data Prototypes']","[{'entityType': 'class', 'targetAttributes': ['autosarVariable'], 'targetEntityName': 'AutosarVariableRef'}, {'entityType': 'class', 'targetAttributes': ['contextElement', 'targetDataPrototype'], 'targetEntityName': 'AtpInstanceRef'}, {'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'VariableDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['category'], 'targetEntityName': 'AutosarDataType'}]",Implementation of AutosarVariableRef,True,[],,,"['AtpInstanceRef.contextElement', 'AtpInstanceRef.targetDataPrototype', 'AutosarDataType.category', 'AutosarVariableRef.autosarVariable', 'VariableDataPrototype._classLevel']",0.9,"[""属性 'contextElement' 在元数据类 'AtpInstanceRef' 的已知属性列表中未找到。 (LLM 违规)"", ""属性 'targetDataPrototype' 在元数据类 'AtpInstanceRef' 的已知属性列表中未找到。 (LLM 违规)""]"
ordering,"SwDataDefProps can be specified on various levels, from type over prototype to instantiation, finally data access and calibration support after RTE generation. In general, properties specified on prototype level override the ones specified on type level.

More formally, the precedence of such properties is:

1. attributes of SwDataDefProps defined on ApplicationDataType which may be overwritten by

2. attributes of SwDataDefProps defined on ImplementationDataType which may be overwritten by

3. attributes of SwDataDefProps defined on DataPrototype which may be overwritten by

4. attributes of SwDataDefProps defined on InstantiationDataDefProps which may be overwritten by

5. attributes of SwDataDefProps defined on ParameterAccess respectively Argument which may be overwritten by

6. attributes of SwDataDefProps defined on FlatInstanceDescriptor which may be overwritten by

7. attributes of SwDataDefProps defined on McDataInstance",TPS_SWCT_01273,TPS_SWCT,"['5 Data Description', '5.4 Properties of Data Deﬁnitions']","[{'entityType': 'class', 'targetAttributes': ['_classLevel'], 'targetEntityName': 'SwDataDefProps'}, {'entityType': 'class', 'targetAttributes': ['swDataDefProps'], 'targetEntityName': 'ApplicationDataType'}, {'entityType': 'class', 'targetAttributes': ['swDataDefProps'], 'targetEntityName': 'ImplementationDataType'}, {'entityType': 'class', 'targetAttributes': ['swDataDefProps'], 'targetEntityName': 'DataPrototype'}, {'entityType': 'class', 'targetAttributes': ['swDataDefProps'], 'targetEntityName': 'InstantiationDataDefProps'}, {'entityType': 'class', 'targetAttributes': ['swDataDefProps'], 'targetEntityName': 'ParameterAccess'}, {'entityType': 'class', 'targetAttributes': ['swDataDefProps'], 'targetEntityName': 'ArgumentDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['swDataDefProps'], 'targetEntityName': 'FlatInstanceDescriptor'}, {'entityType': 'class', 'targetAttributes': ['swDataDefProps'], 'targetEntityName': 'McDataInstance'}]",Precedence rules for the application of SwDataDefProps,True,[],,,"['ApplicationDataType.swDataDefProps', 'ArgumentDataPrototype.swDataDefProps', 'DataPrototype.swDataDefProps', 'FlatInstanceDescriptor.swDataDefProps', 'ImplementationDataType.swDataDefProps', 'InstantiationDataDefProps.swDataDefProps', 'McDataInstance.swDataDefProps', 'ParameterAccess.swDataDefProps', 'SwDataDefProps._classLevel']",0.9,"[""属性 'swDataDefProps' 在元数据类 'McDataInstance' 的已知属性列表中未找到。 (LLM 违规)""]"
format,If an ImplementationDataType references an SwBaseType with a string encoding the initValue shall still be provided as numerical values according to the string encoding.,TPS_SWCT_01467,TPS_SWCT,"['5 Data Description', '5.4 Properties of Data Deﬁnitions']","[{'entityType': 'class', 'targetAttributes': ['initValue'], 'targetEntityName': 'VariableDataPrototype'}, {'entityType': 'class', 'targetAttributes': ['baseTypeEncoding'], 'targetEntityName': 'SwBaseType'}]",ImplementationDataType references an SwBaseType with a string encoding,True,[],,,"['SwBaseType.baseTypeEncoding', 'VariableDataPrototype.initValue']",0.9,"[""属性 'baseTypeEncoding' 在元数据类 'SwBaseType' 的已知属性列表中未找到。 (LLM 违规)""]"
